Unnamed: 0,City,Latitude,Longitude,Zip_Code,Avg_Price,Cluster_Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,Price_Categories,Cluster_Category
55,Cahaba Heights,33.417701400000055,-86.78756219999997,35216,185000.0,3,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Sports and Recreations
56,Calera,33.520680000000034,-86.81175999999996,35040,369395.79,3,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Sports and Recreations
57,Carbon Hill,33.520680000000034,-86.81175999999996,35549,1700000.0,3,Theater,Bar,American Restaurant,Lounge,Hotel,Above Average,Sports and Recreations
58,Center Point,33.64139000000006,-86.69831499999998,35215,167401.31,3,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Sports and Recreations
59,Centreville,32.95366362138794,-87.14511241355787,35042,176000.0,3,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Sports and Recreations
60,Centreville,33.520680000000034,-86.81175999999996,35034,199500.0,3,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Sports and Recreations
61,Chelsea,33.520680000000034,-86.81175999999996,35043,557764.2,3,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Sports and Recreations
62,Chelsea,33.520680000000034,-86.81175999999996,35051,74966.67,3,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Sports and Recreations
63,Chelsea,33.520680000000034,-86.81175999999996,35078,635000.0,3,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Sports and Recreations
64,Chelsea,33.520680000000034,-86.81175999999996,35147,190850.0,3,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Sports and Recreations
65,Chelsea,33.520680000000034,-86.81175999999996,35186,830500.0,3,Theater,Bar,American Restaurant,Lounge,Hotel,Average level,Sports and Recreations
66,Chula Vista,33.515555449090165,-86.62182657871547,35094,750000.0,3,Theater,Bar,American Restaurant,Lounge,Hotel,Average level,Sports and Recreations
67,Clanton,33.520680000000034,-86.81175999999996,35045,334474.74,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
68,Clanton,33.520680000000034,-86.81175999999996,35046,192125.21,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
69,Clanton,33.520680000000034,-86.81175999999996,36091,339000.0,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
70,Clay,33.64139000000006,-86.69831499999998,35215,216900.0,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
71,Clay,33.67726577594485,-86.68162124818123,35126,349600.0,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
72,Cleveland,33.520680000000034,-86.81175999999996,35049,112875.0,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
73,Columbiana,33.520680000000034,-86.81175999999996,35051,284451.32,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
74,Columbiana,33.520680000000034,-86.81175999999996,35078,189900.0,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
75,Cordova,33.520680000000034,-86.81175999999996,35550,53120.0,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
76,Cropwell,33.520680000000034,-86.81175999999996,35054,320447.16,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
77,Docena,33.520680000000034,-86.81175999999996,35060,29950.0,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
78,Docena,33.60569103200004,-86.75777999999997,35217,24900.0,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
79,Dolomite,33.46817760282261,-86.95944623626622,35061,52860.0,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
80,Dora,33.520680000000034,-86.81175999999996,35062,137354.27,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
81,Empire,33.520680000000034,-86.81175999999996,35063,162662.5,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
82,Fairfield,33.48483814308948,-86.90473998290621,35064,61947.12,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
83,Fairfield,33.60569103200004,-86.75777999999997,35217,44000.0,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
84,Fultondale,33.60107925493589,-86.85563330164105,35068,179631.22,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
85,Fultondale,33.60569103200004,-86.75777999999997,35217,53300.0,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
86,Gallant,33.520680000000034,-86.81175999999996,35146,198500.0,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
87,Gardendale,33.520680000000034,-86.81175999999996,35071,375786.75,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
88,Gardendale,33.60569103200004,-86.75777999999997,35217,165900.0,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
89,Gardendale,33.619365957663256,-86.87422180553509,35117,300000.0,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
90,Graysville,33.520680000000034,-86.81175999999996,35073,49218.42,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
91,Graysville,33.57232400000004,-86.89077649999996,35214,47000.0,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
92,Harpersville,33.520680000000034,-86.81175999999996,35078,273218.42,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
93,Hayden,33.520680000000034,-86.81175999999996,35079,161491.94,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
94,Hayden,33.520680000000034,-86.81175999999996,35180,457450.0,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
95,Helena,33.410996423715034,-86.90210606951142,35022,3641525.81,0,Theater,Bar,American Restaurant,Lounge,Hotel,High level 2,Mixed Social Venues
96,Helena,33.520680000000034,-86.81175999999996,35080,378719.38,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
97,Helena,33.520680000000034,-86.81175999999996,35111,444900.0,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
98,Homewood,33.393362800000034,-86.85278759999994,35226,379900.0,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
99,Homewood,33.417701400000055,-86.78756219999997,35216,680950.0,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
100,Homewood,33.46438500000005,-86.82058040299995,35209,520898.86,0,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Mixed Social Venues
101,Hoover,33.35210467400003,-86.84716887799999,35244,764193.45,4,Theater,Bar,American Restaurant,Lounge,Hotel,Average level,Restaurants and Bars
102,Hoover,33.393362800000034,-86.85278759999994,35226,580051.3,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
103,Hoover,33.39727620000008,-86.68311079999997,35242,1192647.62,4,Theater,Bar,American Restaurant,Lounge,Hotel,Average level,Restaurants and Bars
104,Hoover,33.410996423715034,-86.90210606951142,35022,394633.33,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
105,Hoover,33.417701400000055,-86.78756219999997,35216,321900.0,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
106,Hoover,33.520680000000034,-86.81175999999996,35080,412449.5,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
107,Hoover,33.565800000000024,-86.71309499999997,35206,327900.0,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
108,Hueytown,33.469838066241785,-86.97306427774134,35023,164174.0,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
109,Indian Springs Village,33.308437600000055,-86.74208769999996,35124,1470246.67,4,Theater,Bar,American Restaurant,Lounge,Hotel,Above Average,Restaurants and Bars
110,Indian Springs Village,33.39727620000008,-86.68311079999997,35242,2499000.0,4,Theater,Bar,American Restaurant,Lounge,Hotel,High level 1,Restaurants and Bars
111,Irondale,33.49131200000005,-86.72123859999996,35223,62428.43,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
112,Irondale,33.54713730000003,-86.67295219999994,35210,318831.57,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
113,Jasper,33.520680000000034,-86.81175999999996,35503,161700.0,4,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Restaurants and Bars
