City,Zip_Code,Price
"""Bessemer""",35020,32000
"""Bessemer""",35020,30000
"""Bessemer""",35020,27000
"""Bessemer""",35020,24500
"""Bessemer""",35020,24001
"""Bessemer""",35020,20000
"""Bessemer""",35020,14900
"""Bessemer""",35020,13900
"""Bessemer""",35020,13900
"""Bessemer""",35020,12900
"""Bessemer""",35020,12500
"""Bessemer""",35020,11900
"""Bessemer""",35020,11500
"""Bessemer""",35020,11000
"""Bessemer""",35020,10500
"""Bessemer""",35020,10000
"""Bessemer""",35020,9000
"""Bessemer""",35020,9000
"""Brighton""",35020,7500
"""Bessemer""",35020,6500
"""Bessemer""",35020,6000
"""Bessemer""",35020,5500
"""Bessemer""",35020,5500
"""Bessemer""",35020,5500
"""Bessemer""",35020,5500
"""Bessemer""",35020,5500
"""Bessemer""",35020,5000
"""Bessemer""",35020,2000
"""Helena""",35022,102400000
"""Bessemer""",35022,2000000
"""Bessemer""",35022,1160000
"""Bessemer""",35022,975000
"""Bessemer""",35022,950000
"""Bessemer""",35022,795000
"""Bessemer""",35022,745000
"""Bessemer""",35022,724500
"""Helena""",35022,550000
"""Bessemer""",35022,499000
"""Bessemer""",35022,479900
"""Hoover""",35022,469000
"""Bessemer""",35022,459500
"""Bessemer""",35022,450000
"""Helena""",35022,414900
"""Bessemer""",35022,400000
"""Helena""",35022,394900
"""Helena""",35022,394900
"""Helena""",35022,394900
"""Bessemer""",35022,389900
"""Helena""",35022,383900
"""Helena""",35022,379900
"""Helena""",35022,379900
"""Helena""",35022,379000
"""Helena""",35022,376900
"""Helena""",35022,375000
"""Helena""",35022,372900
"""Bessemer""",35022,369900
"""Hoover""",35022,365000
"""Helena""",35022,364900
"""Helena""",35022,359900
"""Helena""",35022,357800
"""Bessemer""",35022,350000
"""Hoover""",35022,349900
"""Helena""",35022,345000
"""Helena""",35022,345000
"""Helena""",35022,340000
"""Helena""",35022,329900
"""McCalla""",35022,325000
"""McCalla""",35022,325000
"""Helena""",35022,324900
"""Helena""",35022,320000
"""Helena""",35022,319900
"""Helena""",35022,319000
"""Bessemer""",35022,313298
"""McCalla""",35022,300000
"""Birmingham""",35022,299980
"""Helena""",35022,299000
"""Bessemer""",35022,299000
"""Bessemer""",35022,299000
"""Bessemer""",35022,294513
"""Bessemer""",35022,292449
"""Bessemer""",35022,290123
"""Helena""",35022,290000
"""Helena""",35022,289900
"""Bessemer""",35022,289900
"""Bessemer""",35022,289000
"""Helena""",35022,286200
"""Bessemer""",35022,286013
"""Bessemer""",35022,284500
"""Bessemer""",35022,279900
"""Helena""",35022,279900
"""Birmingham""",35022,276260
"""Bessemer""",35022,269834
"""Bessemer""",35022,267875
"""Bessemer""",35022,267334
"""Bessemer""",35022,262100
"""Bessemer""",35022,261100
"""Bessemer""",35022,260900
"""Bessemer""",35022,260900
"""Bessemer""",35022,260300
"""Bessemer""",35022,260100
"""Helena""",35022,259900
"""Bessemer""",35022,259900
"""Bessemer""",35022,259900
"""Bessemer""",35022,259100
"""Helena""",35022,259000
"""Bessemer""",35022,257768
"""Bessemer""",35022,257018
"""Bessemer""",35022,253893
"""Bessemer""",35022,253623
"""Bessemer""",35022,253275
"""Bessemer""",35022,253123
"""Bessemer""",35022,250000
"""Bessemer""",35022,248900
"""Birmingham""",35022,247500
"""Bessemer""",35022,247500
"""Bessemer""",35022,247000
"""Bessemer""",35022,245000
"""Bessemer""",35022,245000
"""Bessemer""",35022,244800
"""Bessemer""",35022,240760
"""Birmingham""",35022,239900
"""Bessemer""",35022,239900
"""Birmingham""",35022,239120
"""Bessemer""",35022,235000
"""Birmingham""",35022,234900
"""Bessemer""",35022,232725
"""Bessemer""",35022,224900
"""Hueytown""",35023,780000
"""Bessemer""",35023,495000
"""Oak Grove""",35023,374900
"""Hueytown""",35023,345000
"""Hueytown""",35023,339900
"""Bessemer""",35023,315000
"""Hueytown""",35023,294457
"""Hueytown""",35023,290994
"""Hueytown""",35023,283700
"""Hueytown""",35023,279900
"""Hueytown""",35023,279900
"""Hueytown""",35023,259900
"""Bessemer""",35023,259900
"""Hueytown""",35023,249990
"""Bessemer""",35023,249900
"""Hueytown""",35023,245000
"""Bessemer""",35023,244900
"""Bessemer""",35023,239900
"""Hueytown""",35023,235000
"""Hueytown""",35023,227900
"""Hueytown""",35023,225000
"""Bessemer""",35023,220000
"""Bessemer""",35023,219000
"""Hueytown""",35023,209900
"""Bessemer""",35023,207800
"""Hueytown""",35023,199000
"""Hueytown""",35023,174900
"""Hueytown""",35023,169900
"""Bessemer""",35023,169900
"""Hueytown""",35023,169900
"""Hueytown""",35023,166500
"""Bessemer""",35023,165000
"""Hueytown""",35023,165000
"""Hueytown""",35023,164900
"""Hueytown""",35023,159900
"""Adger""",35023,155900
"""Hueytown""",35023,154900
"""Bessemer""",35023,154900
"""Bessemer""",35023,151900
"""Hueytown""",35023,149900
"""Hueytown""",35023,149900
"""Hueytown""",35023,146000
"""Hueytown""",35023,144900
"""Bessemer""",35023,144400
"""Hueytown""",35023,142000
"""Hueytown""",35023,139900
"""Hueytown""",35023,137000
"""Hueytown""",35023,136000
"""Hueytown""",35023,135000
"""Hueytown""",35023,134900
"""Bessemer""",35023,134000
"""Bessemer""",35023,132660
"""Hueytown""",35023,130000
"""Bessemer""",35023,129900
"""Bessemer""",35023,129900
"""Hueytown""",35023,129900
"""Bessemer""",35023,129900
"""Bessemer""",35023,129000
"""Hueytown""",35023,127900
"""Bessemer""",35023,127500
"""Bessemer""",35023,127500
"""Hueytown""",35023,125900
"""Hueytown""",35023,124900
"""Hueytown""",35023,120000
"""Hueytown""",35023,119900
"""Hueytown""",35023,115000
"""Oak Grove""",35023,115000
"""Hueytown""",35023,115000
"""Bessemer""",35023,114900
"""Hueytown""",35023,114000
"""Oak Grove""",35023,110000
"""Hueytown""",35023,110000
"""Hueytown""",35023,110000
"""Hueytown""",35023,105000
"""Bessemer""",35023,105000
"""Hueytown""",35023,99000
"""Hueytown""",35023,99000
"""Hueytown""",35023,98700
"""Hueytown""",35023,95000
"""Hueytown""",35023,94900
"""Hueytown""",35023,94500
"""Bessemer""",35023,90000
"""Hueytown""",35023,89900
"""Hueytown""",35023,89900
"""Bessemer""",35023,89900
"""Bessemer""",35023,89900
